iter	Passed	Remaining
285	636	1588
286	639	1587
287	641	1586
288	644	1585
289	647	1584
290	649	1582
291	651	1580
292	654	1578
293	656	1577
294	659	1575
295	661	1573
296	663	1570
297	665	1567
298	667	1565
299	670	1563
300	672	1562
301	675	1560
302	677	1558
303	679	1556
304	682	1554
305	684	1552
306	687	1551
307	689	1550
308	692	1547
309	694	1545
310	696	1543
311	698	1541
312	701	1539
313	703	1537
314	706	1536
315	709	1535
316	711	1533
317	713	1530
318	716	1529
319	718	1527
320	721	1526
321	724	1524
322	726	1522
323	728	1520
324	731	1518
325	733	1516
326	736	1515
327	739	1514
328	741	1512
329	743	1510
330	746	1508
331	748	1506
332	751	1504
333	753	1503
334	756	1500
335	758	1498
336	760	1496
337	763	1494
338	765	1493
339	768	1491
340	770	1489
341	773	1487
342	775	1486
343	778	1483
344	780	1482
345	783	1480
346	785	1478
347	787	1475
348	789	1473
349	792	1471
350	794	1469
351	797	1467
352	800	1466
353	802	1464
354	805	1463
355	808	1461
356	810	1460
357	813	1459
358	816	1458
359	819	1456
360	821	1454
361	823	1452
362	826	1450
363	828	1448
364	831	1445
365	833	1443
366	835	1440
367	837	1438
368	839	1435
369	841	1433
370	843	1430
371	846	1428
372	848	1425
373	850	1423
374	852	1420
375	854	1417
376	856	1414
377	858	1412
378	860	1410
379	862	1407
380	864	1404
381	866	1401
382	868	1398
383	870	1396
384	872	1393
385	874	1390
386	876	1388
387	878	1386
388	880	1383
389	882	1380
390	884	1378
391	886	1375
392	888	1372
393	890	1370
394	892	1367
395	894	1364
396	896	1362
397	898	1359
398	900	1356
399	902	1354
400	905	1351
401	907	1349
402	909	1347
403	912	1345
404	914	1343
405	916	1340
406	918	1337
407	920	1335
408	922	1333
409	925	1331
410	927	1329
411	929	1326
412	931	1323
413	933	1321
414	935	1318
415	937	1316
416	940	1314
417	943	1313
418	945	1311
419	947	1308
420	950	1306
421	952	1304
422	955	1302
423	957	1301
424	960	1298
425	962	1296
426	964	1294
427	967	1292
428	969	1290
429	972	1288
430	974	1286
431	976	1284
432	978	1281
433	981	1279
434	983	1277
435	986	1275
436	988	1273
437	990	1271
438	992	1268
439	995	1266
440	997	1263
441	999	1261
442	1001	1259
443	1004	1257
444	1005	1254
445	1007	1252
446	1010	1249
447	1012	1247
448	1014	1244
449	1016	1242
450	1018	1240
451	1021	1238
452	1023	1235
453	1025	1233
454	1027	1230
455	1029	1228
456	1031	1225
457	1033	1223
458	1035	1220
459	1037	1218
460	1040	1216
461	1042	1213
462	1044	1210
463	1046	1208
464	1048	1206
465	1050	1204
466	1052	1201
467	1055	1199
468	1057	1196
469	1059	1194
470	1061	1191
471	1063	1189
472	1065	1187
473	1068	1185
474	1070	1182
475	1072	1180
476	1074	1178
477	1076	1175
478	1078	1173
479	1080	1170
480	1082	1168
481	1084	1165
482	1086	1163
483	1089	1161
484	1091	1158
485	1093	1156
486	1095	1154
487	1097	1151
488	1099	1149
489	1102	1147
490	1104	1144
491	1106	1142
492	1108	1140
493	1110	1137
494	1112	1135
495	1115	1133
496	1117	1130
497	1119	1128
498	1122	1126
499	1124	1124
500	1126	1121
501	1128	1119
502	1130	1117
503	1132	1114
504	1134	1112
505	1137	1110
506	1139	1107
507	1141	1105
508	1143	1102
509	1145	1100
510	1147	1098
511	1149	1096
512	1152	1094
513	1154	1092
514	1156	1089
515	1158	1087
516	1161	1084
517	1163	1082
518	1165	1079
519	1167	1077
520	1169	1075
521	1171	1072
522	1173	1070
523	1175	1067
524	1177	1065
525	1179	1062
526	1181	1060
527	1184	1058
528	1186	1056
529	1188	1053
530	1190	1051
531	1192	1049
532	1194	1046
533	1196	1044
534	1199	1042
535	1201	1040
536	1203	1037
537	1205	1035
538	1207	1032
539	1209	1030
540	1211	1027
541	1213	1025
542	1215	1023
543	1218	1021
544	1220	1018
545	1222	1016
546	1224	1014
547	1226	1011
548	1228	1009
549	1231	1007
550	1233	1005
551	1235	1002
552	1237	1000
553	1239	997
554	1241	995
555	1243	992
556	1245	990
557	1247	988
558	1249	985
559	1251	983
560	1253	980
561	1255	978
562	1257	975
563	1259	973
564	1261	971
565	1263	969
566	1265	966
567	1267	964
568	1269	961
569	1271	959
570	1273	956
571	1275	954
572	1278	952
573	1280	950
574	1282	947
575	1283	945
576	1285	942
577	1287	940
578	1289	937
579	1291	935
580	1294	933
581	1296	930
582	1298	928
583	1300	926
584	1302	923
585	1303	921
586	1305	918
587	1308	916
588	1310	914
589	1312	912
590	1314	909
591	1316	907
592	1318	904
593	1320	902
594	1322	900
595	1324	897
596	1326	895
597	1329	893
598	1331	891
599	1333	888
600	1335	886
601	1336	883
602	1338	881
603	1341	879
604	1343	876
605	1345	874
606	1347	872
607	1349	869
608	1351	867
609	1353	865
610	1355	863
611	1357	860
612	1360	858
613	1362	856
614	1364	853
615	1366	851
616	1367	849
617	1369	846
618	1372	844
619	1374	842
620	1376	839
621	1378	837
622	1380	835
623	1382	832
624	1383	830
625	1385	828
626	1388	825
627	1390	823
628	1392	821
629	1394	819
630	1396	816
631	1398	814
632	1400	812
633	1402	809
634	1404	807
635	1406	805
636	1408	802
637	1411	800
638	1413	798
639	1414	795
640	1416	793
641	1419	791
642	1421	789
643	1423	786
644	1425	784
645	1427	782
646	1429	779
647	1431	777
648	1433	775
649	1435	773
650	1438	770
651	1440	768
652	1442	766
653	1444	764
654	1446	761
655	1448	759
656	1450	757
657	1452	754
658	1454	752
659	1456	750
660	1458	748
661	1460	745
662	1462	743
663	1464	740
664	1466	738
665	1468	736
666	1470	734
667	1472	732
668	1474	729
669	1476	727
670	1478	725
671	1480	722
672	1483	720
673	1485	718
674	1487	715
675	1489	713
676	1490	711
677	1492	708
678	1494	706
679	1496	704
680	1498	702
681	1501	700
682	1503	697
683	1505	695
684	1507	693
685	1509	690
686	1510	688
687	1512	686
688	1515	683
689	1517	681
690	1519	679
691	1521	677
692	1523	674
693	1525	672
694	1527	670
695	1529	668
696	1531	665
697	1534	663
698	1536	661
699	1538	659
700	1540	656
701	1542	654
702	1543	652
703	1546	650
704	1548	647
705	1550	645
706	1552	643
707	1554	641
708	1556	638
709	1558	636
710	1560	634
711	1562	632
712	1564	629
713	1566	627
714	1568	625
715	1570	623
716	1572	620
717	1574	618
718	1576	616
719	1578	613
720	1580	611
721	1582	609
722	1584	607
723	1586	604
724	1588	602
725	1590	600
726	1592	598
727	1595	596
728	1597	593
729	1599	591
730	1601	589
731	1603	587
732	1605	584
733	1607	582
734	1609	580
735	1611	578
736	1613	575
737	1615	573
738	1617	571
739	1619	569
740	1621	566
741	1623	564
742	1625	562
743	1627	560
744	1630	557
745	1632	555
746	1634	553
747	1636	551
748	1637	548
749	1639	546
750	1642	544
751	1644	542
752	1646	539
753	1648	537
754	1650	535
755	1651	533
756	1653	530
757	1655	528
758	1657	526
759	1660	524
760	1662	521
761	1664	519
762	1665	517
763	1667	515
764	1669	512
765	1671	510
766	1674	508
767	1676	506
768	1678	504
769	1680	501
770	1682	499
771	1684	497
772	1686	495
773	1688	493
774	1690	490
775	1692	488
776	1694	486
777	1696	484
778	1698	481
779	1700	479
780	1702	477
781	1704	475
782	1706	473
783	1709	470
784	1711	468
785	1713	466
786	1715	464
787	1717	461
788	1718	459
789	1721	457
790	1723	455
791	1726	453
792	1728	451
793	1730	448
794	1732	446
795	1734	444
796	1736	442
797	1739	440
798	1741	438
799	1743	435
800	1745	433
801	1747	431
802	1749	429
803	1751	426
804	1753	424
805	1755	422
806	1757	420
807	1759	418
808	1761	415
809	1763	413
810	1765	411
811	1767	409
812	1769	407
813	1772	404
814	1774	402
815	1776	400
816	1777	398
817	1779	396
818	1781	393
819	1784	391
820	1786	389
821	1788	387
822	1790	385
823	1792	382
824	1794	380
825	1796	378
826	1798	376
827	1800	373
828	1802	371
829	1804	369
830	1806	367
831	1808	365
832	1810	362
833	1812	360
834	1814	358
835	1816	356
836	1819	354
837	1821	352
838	1823	349
839	1825	347
840	1827	345
841	1829	343
842	1831	341
843	1833	338
844	1835	336
845	1837	334
846	1839	332
847	1841	330
848	1843	327
849	1845	325
850	1847	323
851	1849	321
852	1851	319
853	1853	316
854	1855	314
855	1857	312
856	1859	310
857	1861	308
858	1863	305
859	1865	303
860	1868	301
861	1869	299
862	1871	297
863	1873	294
864	1875	292
865	1877	290
866	1880	288
867	1882	286
868	1884	284
869	1886	281
870	1888	279
871	1890	277
872	1892	275
873	1894	273
874	1896	270
875	1898	268
876	1900	266
877	1902	264
878	1904	262
879	1906	259
880	1908	257
881	1910	255
882	1912	253
883	1914	251
884	1916	249
885	1918	246
886	1920	244
887	1922	242
888	1924	240
889	1926	238
890	1928	235
891	1931	233
892	1933	231
893	1935	229
894	1937	227
895	1938	225
896	1940	222
897	1942	220
898	1945	218
899	1947	216
900	1949	214
901	1951	211
902	1953	209
903	1954	207
904	1956	205
905	1959	203
906	1961	201
907	1963	198
908	1965	196
909	1967	194
910	1969	192
911	1971	190
912	1973	188
913	1976	185
914	1978	183
915	1980	181
916	1981	179
917	1983	177
918	1985	175
919	1987	172
920	1989	170
921	1992	168
922	1994	166
923	1996	164
924	1998	162
925	1999	159
926	2001	157
927	2003	155
928	2005	153
929	2008	151
930	2010	148
931	2011	146
932	2014	144
933	2016	142
934	2018	140
935	2020	138
936	2022	135
937	2024	133
938	2027	131
939	2029	129
940	2031	127
941	2033	125
942	2035	123
943	2037	120
944	2039	118
945	2041	116
946	2044	114
947	2046	112
948	2048	110
949	2050	107
950	2052	105
951	2055	103
952	2057	101
953	2059	99
954	2061	97
955	2063	94
956	2065	92
957	2067	90
958	2069	88
959	2071	86
960	2073	84
961	2075	82
962	2077	79
963	2079	77
964	2081	75
965	2083	73
966	2085	71
967	2087	69
968	2089	66
969	2091	64
970	2094	62
971	2096	60
972	2098	58
973	2100	56
974	2103	53
975	2105	51
976	2107	49
977	2109	47
978	2111	45
979	2114	43
980	2116	40
981	2118	38
982	2121	36
983	2123	34
984	2125	32
985	2127	30
986	2129	28
987	2130	25
988	2133	23
989	2135	21
990	2138	19
991	2140	17
992	2142	15
993	2144	12
994	2146	10
995	2148	8
996	2151	6
997	2153	4
998	2155	2
999	2157	0
