iter	RMSE
240	0.1028430389
241	0.1026230651
242	0.1023907875
243	0.1021467996
244	0.1017849127
245	0.1015800952
246	0.10134791
247	0.1010374285
248	0.1004964759
249	0.1002939386
250	0.1001019895
251	0.09982689281
252	0.09957457109
253	0.09913235829
254	0.09876520622
255	0.09851485722
256	0.09830885103
257	0.09801155618
258	0.09780424517
259	0.0975905062
260	0.09743263964
261	0.09714675235
262	0.09685480619
263	0.09667913296
264	0.09631352707
265	0.09585507182
266	0.09556151834
267	0.09527206742
268	0.09505101253
269	0.09483136229
270	0.09460233614
271	0.09444177001
272	0.09410777066
273	0.09398702515
274	0.09379896192
275	0.0934590065
276	0.09305707315
277	0.09284262777
278	0.09253947638
279	0.09246545491
280	0.09220992271
281	0.09183209649
282	0.09142474116
283	0.09113864081
284	0.09079926041
285	0.09039085878
286	0.09018051464
287	0.08983747649
288	0.08957780017
289	0.08937981305
290	0.08914861117
291	0.08908575409
292	0.088999818
293	0.08880764843
294	0.08851435012
295	0.08825053738
296	0.08815917052
297	0.08787390832
298	0.08754153409
299	0.08741480951
300	0.08712919581
301	0.08687155051
302	0.0867144716
303	0.08651443936
304	0.08617561955
305	0.08593699835
306	0.08573739476
307	0.08559702861
308	0.08531891104
309	0.08519245497
310	0.08495237987
311	0.08447499644
312	0.08438948864
313	0.08406305422
314	0.08379113269
315	0.08349688833
316	0.08330021808
317	0.08309333218
318	0.08296169523
319	0.08266091167
320	0.08229394472
321	0.08201851903
322	0.08181800333
323	0.08168670682
324	0.0814637823
325	0.08110141595
326	0.08091409966
327	0.08067117724
328	0.08036302149
329	0.08022586769
330	0.08003080648
331	0.07979880389
332	0.07957658387
333	0.07945036889
334	0.0793063531
335	0.07908756353
336	0.07876369333
337	0.07852080806
338	0.07838893328
339	0.07797863876
340	0.07770621275
341	0.07757190616
342	0.07748404541
343	0.07734328016
344	0.07705749326
345	0.07687723892
346	0.07660984151
347	0.07643731391
348	0.07611880953
349	0.07585117868
350	0.07567967206
351	0.07540947382
352	0.07508736654
353	0.07469270818
354	0.07443354748
355	0.07427879589
356	0.07418072173
357	0.07383770916
358	0.07357619952
359	0.07341886275
360	0.07325533378
361	0.07282804346
362	0.07262277662
363	0.07250349481
364	0.07238562281
365	0.07215803577
366	0.07204900094
367	0.0719258938
368	0.07166194674
369	0.07151710768
370	0.07124625575
371	0.07102628075
372	0.07088166367
373	0.07063431048
374	0.07046923752
375	0.07021904929
376	0.06997903944
377	0.06980673635
378	0.06973932793
379	0.06957104794
380	0.0694539325
381	0.06925251401
382	0.06910408818
383	0.06884481321
384	0.06875938826
385	0.06856362315
386	0.06850713429
387	0.06826271567
388	0.06785542414
389	0.06769539894
390	0.06761395709
391	0.06740149157
392	0.06720593944
393	0.06716162695
394	0.06697068302
395	0.06675718655
396	0.0667173437
397	0.06663610788
398	0.06645969942
399	0.06638293672
400	0.06622997328
401	0.06608939394
402	0.06589727345
403	0.06576867308
404	0.06553696042
405	0.0654146837
406	0.06524869386
407	0.0650466147
408	0.06492645126
409	0.0647201978
410	0.06453463048
411	0.06435438872
412	0.06422881266
413	0.06409836111
414	0.06379548356
415	0.06367684503
416	0.06362370994
417	0.06347194958
418	0.06333730024
419	0.06319353484
420	0.06300007103
421	0.06282571138
422	0.06279962373
423	0.06257536416
424	0.06240768457
425	0.06231927042
426	0.06205076877
427	0.06182904851
428	0.06168949624
429	0.06152107472
430	0.06130227171
431	0.06118175955
432	0.06107529154
433	0.06087689658
434	0.06077067824
435	0.06061022018
436	0.06037102612
437	0.06016695242
438	0.05978624025
439	0.05966090554
440	0.05945720286
441	0.0593181207
442	0.0592069682
443	0.0590790642
444	0.05894166484
445	0.05874044857
446	0.05861253773
447	0.05846264057
448	0.05831335311
449	0.05813825552
450	0.05802849736
451	0.05790416054
452	0.05778202762
453	0.05752614954
454	0.05742313933
455	0.05735804252
456	0.05728211917
457	0.05721578197
458	0.05721504319
459	0.05705056113
460	0.05695092793
461	0.05682823031
462	0.05667415847
463	0.05653307741
464	0.05642514618
465	0.05626633553
466	0.0559928775
467	0.05575423912
468	0.05553394085
469	0.05543460532
470	0.05526358237
471	0.05516467119
472	0.05502789407
473	0.05496113269
474	0.05489313337
475	0.05484362854
476	0.0547439243
477	0.05458939772
478	0.05443133685
479	0.0542684711
480	0.05411926504
481	0.05398953883
482	0.05383425878
483	0.05374935692
484	0.05362041511
485	0.05350747586
486	0.05344313412
487	0.05331550967
488	0.05322327692
489	0.05301002534
490	0.05288437714
491	0.05278803522
492	0.05272614451
493	0.05263010857
494	0.05251456381
495	0.05238663334
496	0.05226196769
497	0.05209915959
498	0.05197813266
499	0.05191592113
500	0.05170811316
501	0.05159314331
502	0.05125609132
503	0.05116586798
504	0.05106867288
505	0.05091426395
506	0.05083539101
507	0.05074711457
508	0.05066058635
509	0.05057259995
510	0.05043617236
511	0.05028850369
512	0.05019282781
513	0.05010723466
514	0.04997290037
515	0.04980832112
516	0.04974987084
517	0.04973143313
518	0.04959058044
519	0.04940996253
520	0.04927005783
521	0.04913139197
522	0.04904262398
523	0.04889095875
524	0.04879047742
525	0.04869151461
526	0.04857748619
527	0.04838892943
528	0.04820633272
529	0.04812702284
530	0.04795854375
531	0.04785547593
532	0.04779883903
533	0.04763231459
534	0.04744278593
535	0.0473599921
536	0.04726818562
537	0.04712461438
538	0.04697103326
539	0.04690962382
540	0.04678274927
541	0.04662037743
542	0.04653197552
543	0.04642553595
544	0.04634053246
545	0.04618879088
546	0.04603596109
547	0.04590633015
548	0.04574861126
549	0.04562643051
550	0.04559304306
551	0.0454665361
552	0.04525423009
553	0.04514310063
554	0.04509811712
555	0.04493169824
556	0.04484539305
557	0.04472975542
558	0.04472742586
559	0.04459747893
560	0.04445530436
561	0.04439761205
562	0.0443032842
563	0.04412832182
564	0.04402196886
565	0.04398704958
566	0.04386261735
567	0.04368676106
568	0.04363250211
569	0.04349509827
570	0.04341565387
571	0.0433076094
572	0.04320986092
573	0.04305460875
574	0.04298388731
575	0.04285197662
576	0.0427792031
577	0.04272764775
578	0.04257588788
579	0.04251677201
580	0.04240317801
581	0.04233507432
582	0.04229691047
583	0.04210124643
584	0.04197672281
585	0.0419517032
586	0.0418747182
587	0.04183281504
588	0.04170438377
589	0.04158994477
590	0.04147216975
591	0.04143228912
592	0.0413795349
593	0.04131557459
594	0.04113105846
595	0.04107088009
596	0.04101799981
597	0.04094019549
598	0.0408403954
599	0.04075742036
600	0.04063008195
601	0.04046346429
602	0.04032695938
603	0.04020015592
604	0.04011283529
605	0.03995958963
606	0.03984819631
607	0.03974084981
608	0.03961885605
609	0.03947421427
610	0.03938602037
611	0.03922819114
612	0.03915417885
613	0.03911164208
614	0.03904638915
615	0.03895511062
616	0.03890214023
617	0.03876325709
618	0.0386703361
619	0.03860671152
620	0.03853542237
621	0.03843943617
622	0.03839290324
623	0.03831844046
624	0.03823273007
625	0.03811265056
626	0.03802703627
627	0.0379055458
628	0.03782348562
629	0.03772405198
630	0.03767209769
631	0.03760788647
632	0.03748521707
633	0.03737053834
634	0.03729485459
635	0.03719471174
636	0.03709650195
637	0.03702282441
638	0.03688397143
639	0.03672188864
640	0.03657632708
641	0.03654117694
642	0.03647128149
643	0.03637896869
644	0.0363273428
645	0.03627747312
646	0.03623882649
647	0.03614976809
648	0.03604773386
649	0.03588774176
650	0.0357992645
651	0.03575407938
652	0.03567297535
653	0.03553779197
654	0.03545025391
655	0.03539517443
656	0.03534579843
657	0.03529829559
658	0.03526949097
659	0.0351850752
660	0.03512643212
661	0.03507834475
662	0.03503204855
663	0.03490363166
664	0.03484899182
665	0.03480346117
666	0.03471550771
667	0.03465941645
668	0.03459614314
669	0.03452743161
670	0.0345051817
671	0.03444556006
672	0.0344001419
673	0.03430356716
674	0.03424466063
675	0.03412390744
676	0.03404057948
677	0.03399412173
678	0.03387565486
679	0.03378663703
680	0.03363617645
681	0.0335770992
682	0.03353004062
683	0.03347008013
684	0.03342623724
685	0.03333346679
686	0.03320394571
687	0.03308405331
688	0.03299381982
689	0.03290656504
690	0.03279100687
691	0.03268576798
692	0.03260666297
693	0.03253295461
694	0.03244629107
695	0.03241055966
696	0.03227917632
697	0.03219360581
698	0.03203726411
699	0.03200820318
700	0.03192384303
701	0.03187668175
702	0.03177023864
703	0.03168352624
704	0.03163031372
705	0.03156232838
706	0.03147259191
707	0.03136316025
708	0.03129961302
709	0.03123448592
710	0.03113796937
711	0.03105550186
712	0.03097240667
713	0.03091356276
714	0.03087859196
715	0.03084455554
716	0.03080523488
717	0.03074070489
718	0.03068407722
719	0.03067309478
720	0.03059460868
721	0.03052842054
722	0.0304361288
723	0.03039660476
724	0.03031766966
725	0.03024702102
726	0.03018543385
727	0.03014409174
728	0.03006833997
729	0.0300065602
730	0.02996480356
731	0.02988423641
732	0.02976726572
733	0.02970195169
734	0.02961933139
735	0.02954286263
736	0.0295256463
737	0.02945535445
738	0.02940362441
739	0.02936672155
740	0.02929030311
741	0.02925179943
742	0.02916733289
743	0.02908091931
744	0.02903611554
745	0.02894669701
746	0.02893559314
747	0.02887258436
748	0.02882154534
749	0.02876635971
750	0.02869975696
751	0.02865379403
752	0.02863375226
753	0.02855606722
754	0.02849015635
755	0.02846409624
756	0.02840482631
757	0.02834303833
758	0.02828033576
759	0.02818941931
760	0.02813385502
761	0.02807610862
762	0.02799276601
763	0.02796142323
764	0.02788492083
765	0.02774001025
766	0.02769416826
767	0.02763564931
768	0.02756177382
769	0.02751847208
770	0.0274394386
771	0.02741972296
772	0.02734094919
773	0.02728877637
774	0.02724916203
775	0.02714588378
776	0.02710247151
777	0.02705879587
778	0.02697769911
779	0.02691208845
780	0.02683745587
781	0.02679736606
782	0.02676274322
783	0.02664492462
784	0.02657737118
785	0.02648364994
786	0.02641345854
787	0.02636712644
788	0.02631089522
789	0.02627867092
790	0.02622971719
791	0.02616620451
792	0.0260978952
793	0.02605580567
794	0.02600384329
795	0.02588597771
796	0.02583970478
797	0.02576085383
798	0.0257145847
799	0.02570398312
800	0.02563042769
801	0.02557802312
802	0.02553555991
803	0.02542370356
804	0.02537253753
805	0.025320189
806	0.02530196173
807	0.02522605252
808	0.02519180107
809	0.02514033778
810	0.02511911672
811	0.02503114754
812	0.02494052449
813	0.02489722579
814	0.02486424262
815	0.02475506185
816	0.02471384898
817	0.02463514169
818	0.02457216969
819	0.02452290999
820	0.02448048385
821	0.02440342844
822	0.0243713725
823	0.02431571517
824	0.0242648377
825	0.02418931977
826	0.02410923882
827	0.02407516621
828	0.02400136963
829	0.02397366789
830	0.0239224436
831	0.0238573117
832	0.02380860674
833	0.02377087982
834	0.02371153458
835	0.02363613104
836	0.02358753634
837	0.02356873724
838	0.02352071891
839	0.02350542319
840	0.02346242601
841	0.02340915983
842	0.02333712818
843	0.02328179555
844	0.02325603212
845	0.02321413771
846	0.02317572781
847	0.02313582781
848	0.02305021886
849	0.02297247523
850	0.02289667368
851	0.02287204927
852	0.02281888022
853	0.0227889613
854	0.02272611043
855	0.0227102979
856	0.02268037352
857	0.02264623024
858	0.02258290017
859	0.02250177331
860	0.02242590627
861	0.02239135049
862	0.02234992291
863	0.02232275776
864	0.02230731567
865	0.0222855889
866	0.02223512827
867	0.02216027392
868	0.02213496314
869	0.02209965793
870	0.02205100512
871	0.02199423696
872	0.02194381636
873	0.02189679366
874	0.02183693313
875	0.02179258633
876	0.02173210639
877	0.02169523795
878	0.02165305753
879	0.02163555649
880	0.02158285375
881	0.02153385497
882	0.021494656
883	0.02145324519
884	0.02139313564
885	0.02134407116
886	0.02131260967
887	0.02124658477
888	0.02121275273
889	0.02117009987
890	0.02113412097
891	0.02109020031
892	0.02103503529
893	0.02098861115
894	0.02094950842
895	0.02092592028
896	0.02085012037
897	0.0208160017
898	0.02078036213
899	0.02073165235
900	0.02070292161
901	0.02067261822
902	0.02064001162
903	0.02059867556
904	0.02056841552
905	0.02051797707
906	0.0204707564
907	0.02040100513
908	0.02036663901
909	0.0203489126
910	0.02032578833
911	0.02027725983
912	0.0202593227
913	0.02019749693
914	0.02015415566
915	0.02012940955
916	0.0200602535
917	0.0200055294
918	0.01990647006
919	0.01987895827
920	0.0198267505
921	0.01979721953
922	0.01974871395
923	0.01970162504
924	0.01967336294
925	0.01964485943
926	0.0196010521
927	0.01950255798
928	0.01949277516
929	0.01945545388
930	0.01943227541
931	0.01940400781
932	0.01934302143
933	0.01929929388
934	0.01926681538
935	0.01922218956
936	0.01918710073
937	0.0191378126
938	0.01912066959
939	0.01905102987
940	0.01900146219
941	0.01898388022
942	0.01892974783
943	0.01888136863
944	0.0188425638
945	0.01880932531
946	0.01876027321
947	0.01872786115
948	0.01867410852
949	0.01865213089
950	0.01861451284
951	0.0185918784
952	0.0185222539
953	0.01848055035
954	0.01842616978
955	0.01838680295
956	0.01833063343
957	0.01829380347
958	0.0182633023
959	0.01821612734
960	0.01819399863
961	0.01815824379
962	0.01811703623
963	0.0180920519
964	0.01806214909
965	0.01801638905
966	0.01796836029
967	0.01790576095
968	0.01788331271
969	0.01783331168
970	0.01780355828
971	0.01775559795
972	0.01771389445
973	0.017674236
974	0.01759700909
975	0.01756015259
976	0.01750918252
977	0.0174567655
978	0.01743365389
979	0.01739757559
980	0.01736863343
981	0.01733010727
982	0.01728526542
983	0.01726454063
984	0.01724615886
985	0.01720589309
986	0.01717364961
987	0.0171424272
988	0.01711064601
989	0.01706219822
990	0.0170330314
991	0.01698133668
992	0.01693994637
993	0.0168863386
994	0.0168487513
995	0.01680865067
996	0.01679032442
997	0.0167290795
998	0.01668819115
999	0.01667503799
